Dataset,Model,Variant,Fraction,MSE,MAE,Train_Params,Total_Params,Train_Time,Inf_Time
ETTh1,DLinear,full,1.0,0.37170150876045227,0.4112614393234253,18624,18624,0.8895080089569092,0.13134264945983887
ETTh1,PatchTST,full,1.0,0.36203649640083313,0.4091673195362091,62944,62944,124.17903113365173,10.546015977859497
ETTh1,Autoformer/FEDformer,full,1.0,0.42840346693992615,0.45981141924858093,44103,44103,167.67889308929443,36.00632309913635
ETTh1,Model C (Original),original,1.0,0.42011624574661255,0.44471442699432373,51604400,133516976,958.6400110721588,124.06489205360413
ETTh1,Model C+ (Enhanced),full,1.0,0.4128732681274414,0.44057565927505493,51604400,133516976,982.5107600688934,130.2805118560791
ETTh2,DLinear,full,1.0,0.2556595206260681,0.29980453848838806,18624,18624,0.84828782081604,0.14947915077209473
ETTh2,PatchTST,full,1.0,0.24030885100364685,0.2968229651451111,62944,62944,111.55711007118225,10.312552213668823
ETTh2,Autoformer/FEDformer,full,1.0,0.3378218114376068,0.36539962887763977,44103,44103,158.68896985054016,34.851433992385864
ETTh2,Model C (Original),original,1.0,0.27245017886161804,0.3129987418651581,51604400,133516976,971.0328869819641,121.12492299079895
ETTh2,Model C+ (Enhanced),full,1.0,0.27210280299186707,0.3126184940338135,51604400,133516976,1017.2080719470978,134.846764087677
weather,DLinear,full,1.0,0.49147388339042664,0.34259265661239624,18624,18624,6.86394476890564,1.066572904586792
weather,PatchTST,full,1.0,0.4379993975162506,0.3061537742614746,62944,62944,926.7227141857147,72.65778493881226
weather,Autoformer/FEDformer,full,1.0,0.5350321531295776,0.41472676396369934,48597,48597,521.6529881954193,113.26478409767151
weather,Model C (Original),original,1.0,0.5101194381713867,0.35274219512939453,51604400,133516976,7755.715162754059,1005.8652637004852
weather,Model C+ (Enhanced),full,1.0,0.5415420532226562,0.3822365701198578,51604400,133516976,7943.993306875229,1056.9490427970886
