Dataset,Model,Variant,Fraction,MSE,MAE,Train_Params,Total_Params,Train_Time,Inf_Time
ETTh1,DLinear,full,0.1,0.5880666375160217,0.5904096961021423,18624,18624,0.0972750186920166,0.012348175048828125
ETTh1,PatchTST,full,0.1,0.6191064119338989,0.5970525741577148,62944,62944,9.243890762329102,0.8917319774627686
ETTh1,Autoformer/FEDformer,full,0.1,0.7422813177108765,0.6759257316589355,44103,44103,13.661601066589355,3.029223918914795
ETTh1,Model C (Original),original,0.1,0.6803516745567322,0.6320120692253113,51604400,133516976,92.36943006515503,11.841409921646118
ETTh1,Model C+ (Enhanced),full,0.1,0.40859633684158325,0.4912356436252594,52064720,133977296,96.16831183433533,12.214024305343628
ETTh2,DLinear,full,0.1,0.6192452907562256,0.5562418699264526,18624,18624,0.07697010040283203,0.011383056640625
ETTh2,PatchTST,full,0.1,0.6346665620803833,0.5527187585830688,62944,62944,10.157288074493408,0.9535353183746338
ETTh2,Autoformer/FEDformer,full,0.1,0.7445072531700134,0.6180369853973389,44103,44103,14.326361894607544,3.1288819313049316
ETTh2,Model C (Original),original,0.1,0.7160980105400085,0.59047532081604,51604400,133516976,86.28453087806702,11.061830282211304
ETTh2,Model C+ (Enhanced),full,0.1,0.4163946807384491,0.4522745907306671,52064720,133977296,88.86509013175964,11.304251909255981
weather,DLinear,full,0.1,0.5783803462982178,0.5019966959953308,18624,18624,0.6593399047851562,0.1035771369934082
weather,PatchTST,full,0.1,0.5608271956443787,0.46769464015960693,62944,62944,88.32267689704895,6.877295732498169
weather,Autoformer/FEDformer,full,0.1,0.6214950680732727,0.5430968999862671,48597,48597,49.10946083068848,10.910892009735107
weather,Model C (Original),original,0.1,0.621242344379425,0.5143230557441711,51604400,133516976,750.6136600971222,97.96912622451782
weather,Model C+ (Enhanced),full,0.1,0.38006648421287537,0.41956475377082825,55694864,137607440,779.3405029773712,103.76996803283691
