Dataset,Model,Variant,Fraction,MSE,MAE,Train_Params,Total_Params,Train_Time,Inf_Time
ETTh1,DLinear,full,0.1,0.5951512455940247,0.5984996557235718,18624,18624,0.09568214416503906,0.013254880905151367
ETTh1,PatchTST,full,0.1,0.5611847043037415,0.5785068869590759,309440,309440,5.752630949020386,0.2593648433685303
ETTh1,Autoformer/FEDformer,full,0.1,0.500759482383728,0.5439169406890869,2202816,2202816,3.1867802143096924,0.10299372673034668
ETTh1,Model C (Original),original,0.1,0.7631246447563171,0.6897109150886536,53504,53504,0.8240101337432861,0.08671784400939941
ETTh1,Model C+ (Enhanced),full,0.1,0.5988035202026367,0.6085326075553894,53504,53504,0.8535988330841064,0.08968591690063477
ETTh1,DLinear,full,1.0,0.378866046667099,0.42325982451438904,18624,18624,0.85111403465271,0.13572096824645996
ETTh1,PatchTST,full,1.0,0.33869507908821106,0.40713655948638916,309440,309440,63.087472915649414,2.830538034439087
ETTh1,Autoformer/FEDformer,full,1.0,0.2811764180660248,0.3764804005622864,2202816,2202816,34.50493407249451,1.1394331455230713
ETTh1,Model C (Original),original,1.0,0.34026145935058594,0.4184212386608124,53504,53504,8.952418088912964,0.9119100570678711
ETTh1,Model C+ (Enhanced),full,1.0,0.355671763420105,0.4344697892665863,53504,53504,8.78495192527771,0.9477419853210449
ETTh2,DLinear,full,0.1,0.634064793586731,0.5599222779273987,18624,18624,0.0833890438079834,0.011548042297363281
ETTh2,PatchTST,full,0.1,0.57708740234375,0.5330102443695068,309440,309440,5.674860954284668,0.25688815116882324
ETTh2,Autoformer/FEDformer,full,0.1,0.5836273431777954,0.541839063167572,2202816,2202816,3.1092028617858887,0.1026151180267334
ETTh2,Model C (Original),original,0.1,0.7715055346488953,0.650454580783844,53504,53504,0.8020977973937988,0.08491683006286621
ETTh2,Model C+ (Enhanced),full,0.1,0.7597272396087646,0.6474568247795105,53504,53504,0.8269753456115723,0.08884382247924805
ETTh2,DLinear,full,1.0,0.25736209750175476,0.3109061121940613,18624,18624,0.8379530906677246,0.13051795959472656
ETTh2,PatchTST,full,1.0,0.23592796921730042,0.30615758895874023,309440,309440,63.80584907531738,3.0383002758026123
ETTh2,Autoformer/FEDformer,full,1.0,0.15626157820224762,0.2767544984817505,2202816,2202816,38.17760705947876,1.360949993133545
ETTh2,Model C (Original),original,1.0,0.20663413405418396,0.31151190400123596,53504,53504,9.487294912338257,0.9337799549102783
ETTh2,Model C+ (Enhanced),full,1.0,1.0063519477844238,0.7541937828063965,53504,53504,9.12447714805603,0.9301807880401611
weather,DLinear,full,0.1,0.596268892288208,0.5135188698768616,18624,18624,0.5090999603271484,0.0830378532409668
weather,PatchTST,full,0.1,0.44923120737075806,0.43550941348075867,309440,309440,50.60027074813843,2.3598217964172363
weather,Autoformer/FEDformer,full,0.1,0.3282117247581482,0.3846140503883362,6333376,6333376,10.984328031539917,0.37908506393432617
weather,Model C (Original),original,0.1,1.002278447151184,0.7344609498977661,142656,142656,2.81315016746521,0.28661108016967773
weather,Model C+ (Enhanced),full,0.1,1.002439022064209,0.7344672083854675,142656,142656,2.8221168518066406,0.286344051361084
weather,DLinear,full,1.0,0.518756091594696,0.35453352332115173,18624,18624,5.406948804855347,0.8813667297363281
weather,PatchTST,full,1.0,0.4014313817024231,0.30211129784584045,309440,309440,518.4861240386963,25.15984582901001
weather,Autoformer/FEDformer,full,1.0,0.28699514269828796,0.25931689143180847,6333376,6333376,124.1315689086914,4.248687267303467
weather,Model C (Original),original,1.0,0.9999006986618042,0.6748100519180298,142656,142656,29.91652011871338,3.0475308895111084
weather,Model C+ (Enhanced),full,1.0,1.000637412071228,0.6754350662231445,142656,142656,29.938292026519775,3.0824670791625977
ETTh1,Model C+ (Enhanced),no_periodicity,0.1,0.7737880945205688,0.7065207362174988,53504,53504,0.8053150177001953,0.08441019058227539
ETTh1,Model C+ (Enhanced),no_trend_stability,0.1,0.792694091796875,0.7148343920707703,53504,53504,0.8127050399780273,0.08530998229980469
ETTh1,Model C+ (Enhanced),basic_only,0.1,0.8036904335021973,0.7210601568222046,53504,53504,0.8034181594848633,0.0840907096862793
ETTh2,Model C+ (Enhanced),no_periodicity,0.1,0.7482642531394958,0.6407431364059448,53504,53504,0.8272550106048584,0.08389711380004883
ETTh2,Model C+ (Enhanced),no_trend_stability,0.1,0.7697719931602478,0.6496748328208923,53504,53504,0.8312320709228516,0.0882868766784668
ETTh2,Model C+ (Enhanced),basic_only,0.1,0.7227058410644531,0.6162763237953186,53504,53504,0.962979793548584,0.08609604835510254
weather,Model C+ (Enhanced),no_periodicity,0.1,1.0020090341567993,0.7345727682113647,142656,142656,2.8925130367279053,0.2949669361114502
weather,Model C+ (Enhanced),no_trend_stability,0.1,1.0021823644638062,0.7348106503486633,142656,142656,2.870161771774292,0.29507923126220703
weather,Model C+ (Enhanced),basic_only,0.1,1.0024409294128418,0.7349374890327454,142656,142656,2.9113919734954834,0.2973330020904541
